epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.7024,1.81543,2.18474,1.72554,0.49094,0.41304,0.38982,0.18554,1.74063,2.2132,1.71723,0.0668903,3.31429e-05,3.31429e-05
2,186.848,1.70583,1.75824,1.61969,0.65621,0.60645,0.63498,0.33683,1.53147,1.59978,1.50867,0.03359,6.61471e-05,6.61471e-05
3,282.684,1.63323,1.62951,1.56832,0.68306,0.6505,0.69039,0.3893,1.42997,1.53226,1.40562,0.000289298,9.88214e-05,9.88214e-05
4,367.173,1.58815,1.51448,1.53424,0.73652,0.6689,0.74014,0.43332,1.40361,1.21608,1.38743,9.8515e-05,9.8515e-05,9.8515e-05
5,455.323,1.57566,1.4765,1.51755,0.63736,0.64219,0.65005,0.36145,1.47223,1.36583,1.46955,9.802e-05,9.802e-05,9.802e-05
6,552.655,1.54929,1.43436,1.5015,0.70068,0.68115,0.74426,0.42881,1.37706,1.19665,1.38009,9.7525e-05,9.7525e-05,9.7525e-05
7,644.917,1.53021,1.40087,1.48919,0.72552,0.70652,0.76663,0.45753,1.35513,1.11756,1.35745,9.703e-05,9.703e-05,9.703e-05
8,755.326,1.51278,1.37477,1.47947,0.7523,0.699,0.76498,0.43325,1.43659,1.16331,1.39117,9.6535e-05,9.6535e-05,9.6535e-05
9,856.495,1.50078,1.3398,1.46798,0.74545,0.71989,0.77921,0.4602,1.40804,1.13198,1.38451,9.604e-05,9.604e-05,9.604e-05
10,950.766,1.496,1.31452,1.46362,0.75139,0.67559,0.75142,0.44376,1.38028,1.14677,1.35644,9.5545e-05,9.5545e-05,9.5545e-05
11,1059.32,1.48684,1.29087,1.45223,0.75526,0.69816,0.76876,0.46056,1.35481,1.10192,1.35551,9.505e-05,9.505e-05,9.505e-05
12,1156.8,1.47855,1.28914,1.44959,0.75884,0.68729,0.76866,0.4684,1.34115,1.08832,1.33295,9.4555e-05,9.4555e-05,9.4555e-05
13,1252.55,1.4596,1.26133,1.43511,0.74371,0.71823,0.77932,0.46455,1.37578,1.06611,1.34224,9.406e-05,9.406e-05,9.406e-05
14,1346.49,1.46983,1.25109,1.43461,0.76461,0.68714,0.77534,0.45389,1.39604,1.06338,1.3748,9.3565e-05,9.3565e-05,9.3565e-05
15,1459.59,1.45354,1.22576,1.42419,0.76738,0.71739,0.78187,0.46464,1.37998,1.05214,1.34485,9.307e-05,9.307e-05,9.307e-05
16,1545.86,1.44229,1.21783,1.42006,0.74957,0.70074,0.77445,0.46019,1.35165,1.05173,1.33035,9.2575e-05,9.2575e-05,9.2575e-05
17,1669.62,1.43045,1.20131,1.40872,0.77302,0.71237,0.79164,0.4813,1.33437,1.00956,1.31332,9.208e-05,9.208e-05,9.208e-05
18,1754.2,1.42357,1.19218,1.41248,0.76336,0.72014,0.779,0.48523,1.35287,1.0375,1.33184,9.1585e-05,9.1585e-05,9.1585e-05
19,1867.87,1.41543,1.18186,1.40193,0.7606,0.71195,0.77645,0.46113,1.34691,1.03577,1.34723,9.109e-05,9.109e-05,9.109e-05
20,1953.75,1.41124,1.16255,1.39614,0.75988,0.69983,0.75704,0.44123,1.40648,1.07299,1.36986,9.0595e-05,9.0595e-05,9.0595e-05
21,2921.53,1.41148,1.16797,1.39445,0.76484,0.72408,0.77934,0.47526,1.32675,1.02155,1.32574,9.01e-05,9.01e-05,9.01e-05
22,3025.57,1.40179,1.1407,1.39112,0.72793,0.74498,0.78969,0.48209,1.34974,1.01764,1.33474,8.9605e-05,8.9605e-05,8.9605e-05
23,3111.62,1.39405,1.12909,1.38547,0.77799,0.73328,0.799,0.47407,1.35678,1.00084,1.361,8.911e-05,8.911e-05,8.911e-05
24,3198.43,1.39425,1.11865,1.3819,0.77763,0.71154,0.78859,0.47217,1.37213,1.00092,1.34933,8.8615e-05,8.8615e-05,8.8615e-05
25,3282.85,1.38488,1.09659,1.37631,0.76662,0.73608,0.79349,0.48381,1.34921,0.99307,1.33085,8.812e-05,8.812e-05,8.812e-05
26,3368.43,1.37718,1.11385,1.37832,0.77203,0.72993,0.79606,0.48003,1.3275,0.99868,1.31465,8.7625e-05,8.7625e-05,8.7625e-05
27,3473.71,1.37238,1.08677,1.3641,0.76154,0.74666,0.80502,0.4874,1.31985,0.9808,1.31567,8.713e-05,8.713e-05,8.713e-05
28,3577.72,1.36366,1.07637,1.35701,0.7891,0.72157,0.78821,0.47942,1.32999,0.97346,1.3298,8.6635e-05,8.6635e-05,8.6635e-05
29,3669.27,1.36422,1.06339,1.36379,0.77597,0.71739,0.78698,0.46999,1.36713,0.9883,1.33491,8.614e-05,8.614e-05,8.614e-05
30,3778.09,1.36586,1.06441,1.34565,0.77348,0.69376,0.77193,0.46869,1.37649,1.0132,1.34087,8.5645e-05,8.5645e-05,8.5645e-05
31,3870.15,1.35339,1.05812,1.35808,0.74261,0.76003,0.79148,0.48314,1.3295,0.97771,1.32203,8.515e-05,8.515e-05,8.515e-05
32,3962.52,1.34045,1.04208,1.34936,0.75751,0.74247,0.7907,0.47376,1.3881,0.98223,1.369,8.4655e-05,8.4655e-05,8.4655e-05
33,4079.11,1.34227,1.04401,1.34581,0.74842,0.75118,0.78534,0.47698,1.3218,0.95921,1.33843,8.416e-05,8.416e-05,8.416e-05
34,4178.97,1.33942,1.03449,1.34674,0.71961,0.77039,0.7852,0.4752,1.34269,0.9653,1.33447,8.3665e-05,8.3665e-05,8.3665e-05
35,4270.55,1.3201,1.02109,1.33903,0.76079,0.74582,0.794,0.48729,1.31659,0.94747,1.30807,8.317e-05,8.317e-05,8.317e-05
36,4359.47,1.32929,1.02072,1.32979,0.74118,0.73997,0.78438,0.46451,1.39416,0.97438,1.34729,8.2675e-05,8.2675e-05,8.2675e-05
37,4445.74,1.31663,1.01374,1.33035,0.78136,0.73579,0.80365,0.50554,1.28064,0.93557,1.29789,8.218e-05,8.218e-05,8.218e-05
38,4529.45,1.32013,0.9945,1.32841,0.77367,0.74314,0.80259,0.49374,1.30363,0.94117,1.3094,8.1685e-05,8.1685e-05,8.1685e-05
39,4613.26,1.32124,0.99203,1.32764,0.76602,0.74184,0.78792,0.46021,1.40116,0.97263,1.38723,8.119e-05,8.119e-05,8.119e-05
40,4711.12,1.31282,0.98624,1.31972,0.76563,0.75386,0.79706,0.4881,1.31814,0.94289,1.32908,8.0695e-05,8.0695e-05,8.0695e-05
41,4806.27,1.29988,0.97786,1.31778,0.76152,0.76756,0.77988,0.47241,1.32965,0.97294,1.32252,8.02e-05,8.02e-05,8.02e-05
42,4892.5,1.29331,0.96932,1.31021,0.77839,0.74666,0.79838,0.4732,1.36378,0.94517,1.35226,7.9705e-05,7.9705e-05,7.9705e-05
43,5005.62,1.29859,0.97394,1.30135,0.75788,0.77759,0.80556,0.50078,1.27723,0.91356,1.30449,7.921e-05,7.921e-05,7.921e-05
44,5091.15,1.29285,0.96118,1.30548,0.78193,0.74052,0.80047,0.48978,1.3317,0.9322,1.31811,7.8715e-05,7.8715e-05,7.8715e-05
45,5175.25,1.30625,0.964,1.31415,0.77771,0.74749,0.80127,0.48421,1.34071,0.94358,1.33215,7.822e-05,7.822e-05,7.822e-05
46,5263,1.29569,0.95925,1.30919,0.77789,0.76505,0.81392,0.4959,1.32134,0.90769,1.33416,7.7725e-05,7.7725e-05,7.7725e-05
47,5348.21,1.26966,0.93312,1.29614,0.76415,0.75311,0.8067,0.49931,1.29231,0.90641,1.30305,7.723e-05,7.723e-05,7.723e-05
48,5505.5,1.28361,0.95178,1.2995,0.78077,0.73495,0.79281,0.48337,1.33701,0.95039,1.33408,7.6735e-05,7.6735e-05,7.6735e-05
49,5659.85,1.28602,0.94246,1.30201,0.76902,0.77112,0.80057,0.49796,1.29014,0.91847,1.30496,7.624e-05,7.624e-05,7.624e-05
50,5810.56,1.28033,0.9263,1.29551,0.76786,0.7799,0.80212,0.49037,1.3185,0.92512,1.30905,7.5745e-05,7.5745e-05,7.5745e-05
51,5986.57,1.27294,0.93267,1.29687,0.78326,0.74833,0.8074,0.49388,1.31716,0.92675,1.32521,7.525e-05,7.525e-05,7.525e-05
