epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.8261,1.92054,3.16107,1.85516,0.04293,0.51171,0.07459,0.02731,1.58207,3.11105,1.63832,0.0667951,3.32381e-05,3.32381e-05
2,165.057,1.76598,2.95062,1.68859,0.29814,0.16973,0.16879,0.07303,1.49055,2.83734,1.51262,0.0334947,6.61321e-05,6.61321e-05
3,247.061,1.73218,2.61923,1.63783,0.42559,0.41639,0.36746,0.1679,1.51317,2.3868,1.50753,0.000193824,9.8586e-05,9.8586e-05
4,328.633,1.70093,2.28851,1.6107,0.54577,0.51672,0.51943,0.25571,1.49244,2.16087,1.48217,9.802e-05,9.802e-05,9.802e-05
5,409.928,1.66535,2.16667,1.57784,0.60005,0.57705,0.60312,0.30602,1.47904,2.00279,1.45415,9.736e-05,9.736e-05,9.736e-05
6,491.817,1.63546,2.08071,1.54762,0.66701,0.57525,0.64075,0.33528,1.45023,1.92129,1.43189,9.67e-05,9.67e-05,9.67e-05
7,573.549,1.60999,2.03113,1.53317,0.65911,0.58779,0.65061,0.34173,1.45157,1.88195,1.43552,9.604e-05,9.604e-05,9.604e-05
8,655.508,1.59769,1.98849,1.51991,0.65426,0.60786,0.65584,0.3507,1.43002,1.86102,1.41201,9.538e-05,9.538e-05,9.538e-05
9,736.593,1.58432,1.95829,1.51196,0.68247,0.62375,0.68236,0.36654,1.43276,1.79956,1.40995,9.472e-05,9.472e-05,9.472e-05
10,818.027,1.58616,1.95048,1.51149,0.67221,0.6087,0.67836,0.36945,1.41275,1.78275,1.40083,9.406e-05,9.406e-05,9.406e-05
11,899.478,1.56776,1.90856,1.49018,0.67502,0.63545,0.69018,0.37809,1.4084,1.72957,1.3855,9.34e-05,9.34e-05,9.34e-05
12,980.847,1.56227,1.88612,1.49095,0.67092,0.64947,0.69488,0.39275,1.39501,1.70731,1.37992,9.274e-05,9.274e-05,9.274e-05
13,1062.07,1.55729,1.86427,1.48491,0.69445,0.63661,0.70208,0.39029,1.398,1.66461,1.38046,9.208e-05,9.208e-05,9.208e-05
14,1142.98,1.54939,1.84753,1.47677,0.70658,0.65886,0.71205,0.40662,1.37659,1.61177,1.36051,9.142e-05,9.142e-05,9.142e-05
15,1224.4,1.53855,1.82756,1.46856,0.68116,0.65134,0.70857,0.39332,1.39453,1.62165,1.36875,9.076e-05,9.076e-05,9.076e-05
16,1306.17,1.53152,1.81091,1.46886,0.71888,0.64785,0.72499,0.41357,1.36118,1.55811,1.34824,9.01e-05,9.01e-05,9.01e-05
17,1388.16,1.52134,1.79091,1.45921,0.70446,0.66304,0.72658,0.42352,1.35007,1.54407,1.34168,8.944e-05,8.944e-05,8.944e-05
18,1507.1,1.52969,1.78354,1.46961,0.71576,0.65803,0.729,0.41687,1.37012,1.53411,1.35695,8.878e-05,8.878e-05,8.878e-05
19,1588.92,1.5275,1.76238,1.45567,0.7034,0.66555,0.71891,0.41535,1.35859,1.53338,1.35353,8.812e-05,8.812e-05,8.812e-05
20,1671.03,1.52554,1.75346,1.4596,0.71564,0.66806,0.72937,0.42088,1.35866,1.49793,1.34196,8.746e-05,8.746e-05,8.746e-05
21,1752.83,1.51442,1.7434,1.45622,0.72968,0.65886,0.73537,0.42523,1.35678,1.49502,1.34317,8.68e-05,8.68e-05,8.68e-05
22,1834.42,1.50314,1.737,1.44832,0.72804,0.66722,0.72803,0.42373,1.34644,1.47331,1.33754,8.614e-05,8.614e-05,8.614e-05
23,1916.03,1.50824,1.7106,1.44842,0.74008,0.67374,0.742,0.4347,1.33913,1.44781,1.33435,8.548e-05,8.548e-05,8.548e-05
24,1997.76,1.51003,1.70121,1.44736,0.73976,0.6714,0.74446,0.43811,1.33231,1.42074,1.32826,8.482e-05,8.482e-05,8.482e-05
25,2079.77,1.50014,1.6807,1.43873,0.72933,0.66639,0.74964,0.44151,1.33987,1.41994,1.32522,8.416e-05,8.416e-05,8.416e-05
26,2161.82,1.49975,1.67455,1.43995,0.72662,0.66005,0.7387,0.43197,1.3535,1.41028,1.33284,8.35e-05,8.35e-05,8.35e-05
27,2243.28,1.50129,1.66185,1.44122,0.72288,0.68395,0.74723,0.4427,1.33175,1.39115,1.32287,8.284e-05,8.284e-05,8.284e-05
28,2324.73,1.50111,1.65997,1.43541,0.73753,0.67193,0.74607,0.43496,1.35455,1.38824,1.33079,8.218e-05,8.218e-05,8.218e-05
29,2406.34,1.50427,1.65479,1.43568,0.73005,0.67391,0.73487,0.43269,1.34137,1.39615,1.32647,8.152e-05,8.152e-05,8.152e-05
30,2487.44,1.49017,1.63529,1.42365,0.7439,0.64381,0.73825,0.43348,1.34118,1.40186,1.32132,8.086e-05,8.086e-05,8.086e-05
31,2568.42,1.47879,1.64124,1.43049,0.72286,0.67825,0.74669,0.44072,1.32937,1.36778,1.31504,8.02e-05,8.02e-05,8.02e-05
32,2649.65,1.48915,1.62848,1.43225,0.74225,0.67559,0.75011,0.44445,1.33533,1.34925,1.32235,7.954e-05,7.954e-05,7.954e-05
