epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,4291.76,1.38353,1.13669,1.50533,0.78076,0.71906,0.79746,0.49249,1.29517,0.92457,1.42657,2.278e-05,2.278e-05,2.278e-05
41,4392.83,1.37007,1.0279,1.53491,0.74966,0.73862,0.78895,0.4928,1.27572,0.93064,1.43541,2.08e-05,2.08e-05,2.08e-05
42,4528.04,1.34464,0.99725,1.52631,0.77306,0.73997,0.79638,0.49151,1.27925,0.92936,1.44097,1.882e-05,1.882e-05,1.882e-05
43,4646.78,1.33511,0.96287,1.51598,0.7639,0.74664,0.79298,0.48761,1.29191,0.93698,1.46703,1.684e-05,1.684e-05,1.684e-05
44,4747.69,1.34331,0.97769,1.53013,0.76434,0.72659,0.79467,0.49475,1.27138,0.93129,1.44512,1.486e-05,1.486e-05,1.486e-05
45,4849.72,1.33012,0.96496,1.51926,0.76906,0.7295,0.79709,0.49241,1.293,0.91986,1.46536,1.288e-05,1.288e-05,1.288e-05
46,4950.99,1.32615,0.95342,1.51388,0.76317,0.73829,0.79812,0.49055,1.29958,0.9202,1.4687,1.09e-05,1.09e-05,1.09e-05
47,5053.98,1.32324,0.95327,1.52353,0.75938,0.74582,0.79875,0.48647,1.30072,0.92559,1.47533,8.92e-06,8.92e-06,8.92e-06
48,5155.13,1.32406,0.94993,1.51753,0.74472,0.75418,0.79916,0.49472,1.28079,0.91336,1.45477,6.94e-06,6.94e-06,6.94e-06
49,5256.75,1.31324,0.93216,1.50925,0.75273,0.75251,0.80228,0.49464,1.28745,0.9123,1.46522,4.96e-06,4.96e-06,4.96e-06
50,5357.72,1.30456,0.93316,1.50061,0.74445,0.75334,0.80074,0.48807,1.30304,0.91561,1.47781,2.98e-06,2.98e-06,2.98e-06
