epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,3253.53,1.29078,0.9581,1.29893,0.77375,0.72492,0.78725,0.47073,1.38213,0.97994,1.3861,8.0695e-05,8.0695e-05,8.0695e-05
41,3337.45,1.27307,0.94735,1.29346,0.75844,0.75344,0.78573,0.45961,1.39653,0.9614,1.37643,8.02e-05,8.02e-05,8.02e-05
42,3421.87,1.28165,0.94203,1.29623,0.77734,0.72659,0.78203,0.46107,1.39629,0.96162,1.37857,7.9705e-05,7.9705e-05,7.9705e-05
43,3505.73,1.27888,0.94632,1.2861,0.75495,0.75669,0.78379,0.4649,1.38243,0.96231,1.37058,7.921e-05,7.921e-05,7.921e-05
44,3593.48,1.27995,0.93534,1.28635,0.78963,0.72184,0.78954,0.46796,1.39888,0.96371,1.37126,7.8715e-05,7.8715e-05,7.8715e-05
45,3677.8,1.28738,0.94413,1.29714,0.7594,0.74331,0.77632,0.45817,1.3979,0.96576,1.37815,7.822e-05,7.822e-05,7.822e-05
46,3762.08,1.28343,0.93493,1.29116,0.74862,0.75167,0.78578,0.46371,1.3697,0.96693,1.36411,7.7725e-05,7.7725e-05,7.7725e-05
47,3846.44,1.25762,0.91277,1.27759,0.74819,0.75836,0.79919,0.47828,1.37244,0.94239,1.35806,7.723e-05,7.723e-05,7.723e-05
48,3930.52,1.27563,0.9305,1.28638,0.7635,0.76119,0.79143,0.47093,1.38858,0.96102,1.36301,7.6735e-05,7.6735e-05,7.6735e-05
49,4013.74,1.27524,0.92291,1.28383,0.75101,0.76254,0.79028,0.47552,1.38499,0.94803,1.37406,7.624e-05,7.624e-05,7.624e-05
50,4097.67,1.26297,0.91177,1.27632,0.75862,0.74666,0.77738,0.47067,1.36009,0.96286,1.35362,7.5745e-05,7.5745e-05,7.5745e-05
51,4180.97,1.2625,0.91658,1.28208,0.74335,0.76527,0.79608,0.48171,1.38225,0.92767,1.36179,7.525e-05,7.525e-05,7.525e-05
52,4265.06,1.26187,0.90502,1.26955,0.7562,0.75,0.78516,0.46273,1.40467,0.96073,1.39796,7.4755e-05,7.4755e-05,7.4755e-05
53,4349.15,1.25485,0.90104,1.27326,0.76202,0.76087,0.78312,0.45493,1.4171,0.95606,1.40272,7.426e-05,7.426e-05,7.426e-05
54,4432.96,1.24319,0.90099,1.27141,0.76027,0.76338,0.80077,0.48494,1.36014,0.92326,1.35931,7.3765e-05,7.3765e-05,7.3765e-05
55,4516.76,1.24839,0.89482,1.26549,0.7608,0.77592,0.79539,0.47778,1.37976,0.94995,1.37136,7.327e-05,7.327e-05,7.327e-05
56,4600.55,1.24104,0.88958,1.26366,0.76078,0.76505,0.78986,0.46329,1.42173,0.94365,1.41485,7.2775e-05,7.2775e-05,7.2775e-05
57,4684.69,1.2387,0.88721,1.26883,0.76707,0.75444,0.79911,0.4814,1.37,0.94144,1.3617,7.228e-05,7.228e-05,7.228e-05
58,4768.9,1.23654,0.88979,1.26341,0.77334,0.75311,0.79213,0.46777,1.39519,0.94049,1.38089,7.1785e-05,7.1785e-05,7.1785e-05
59,4853.22,1.23776,0.87722,1.26078,0.73544,0.76935,0.79694,0.47731,1.39139,0.93561,1.37772,7.129e-05,7.129e-05,7.129e-05
60,4937.37,1.22909,0.87872,1.26146,0.75303,0.75502,0.78464,0.46819,1.38084,0.94236,1.37538,7.0795e-05,7.0795e-05,7.0795e-05
61,5021.35,1.23323,0.88318,1.26255,0.7585,0.77759,0.78752,0.47137,1.39044,0.93842,1.37342,7.03e-05,7.03e-05,7.03e-05
62,5104.8,1.22596,0.88146,1.25044,0.75977,0.76923,0.79229,0.47568,1.38103,0.93059,1.3799,6.9805e-05,6.9805e-05,6.9805e-05
63,5219.17,1.22183,0.86256,1.25054,0.77214,0.77067,0.79592,0.47988,1.38122,0.92886,1.38454,6.931e-05,6.931e-05,6.931e-05
64,5318.29,1.21999,0.86983,1.25498,0.76455,0.75478,0.77942,0.46511,1.39917,0.94458,1.37204,6.8815e-05,6.8815e-05,6.8815e-05
65,5402.17,1.21635,0.86636,1.2482,0.75795,0.76191,0.79586,0.48353,1.37458,0.92716,1.37223,6.832e-05,6.832e-05,6.832e-05
66,5486.34,1.20875,0.85179,1.24636,0.77384,0.73525,0.79015,0.48244,1.38301,0.92822,1.36892,6.7825e-05,6.7825e-05,6.7825e-05
67,5570.72,1.22161,0.86474,1.25648,0.75885,0.77341,0.78579,0.48329,1.35752,0.92688,1.36109,6.733e-05,6.733e-05,6.733e-05
68,5654.39,1.21247,0.85149,1.24757,0.76791,0.77174,0.80511,0.49242,1.36253,0.91145,1.36865,6.6835e-05,6.6835e-05,6.6835e-05
69,5739.34,1.2088,0.86333,1.24456,0.75717,0.78261,0.80107,0.48655,1.37692,0.9279,1.36458,6.634e-05,6.634e-05,6.634e-05
70,5823.42,1.19935,0.84375,1.24153,0.77227,0.77973,0.81232,0.49712,1.36294,0.90905,1.35028,6.5845e-05,6.5845e-05,6.5845e-05
71,5907.74,1.20703,0.8443,1.24076,0.76379,0.77508,0.80209,0.49245,1.33236,0.91441,1.33015,6.535e-05,6.535e-05,6.535e-05
72,5991.78,1.20257,0.84126,1.24489,0.76278,0.77007,0.79956,0.49795,1.3288,0.92464,1.33263,6.4855e-05,6.4855e-05,6.4855e-05
73,6075.8,1.19703,0.83926,1.24001,0.74931,0.76338,0.78808,0.47701,1.37727,0.93645,1.38199,6.436e-05,6.436e-05,6.436e-05
74,6165.16,1.18757,0.82813,1.23742,0.75154,0.784,0.79942,0.48418,1.35949,0.9243,1.36586,6.3865e-05,6.3865e-05,6.3865e-05
75,6283.11,1.18353,0.82972,1.22973,0.7702,0.75669,0.80422,0.48791,1.35722,0.92221,1.35617,6.337e-05,6.337e-05,6.337e-05
76,6356.21,1.19165,0.83407,1.23322,0.75618,0.76839,0.79863,0.48164,1.3789,0.92177,1.39341,6.2875e-05,6.2875e-05,6.2875e-05
77,6441.66,1.18434,0.82614,1.22905,0.76272,0.77341,0.79575,0.4817,1.38355,0.92548,1.38431,6.238e-05,6.238e-05,6.238e-05
78,6511.68,1.18624,0.83331,1.23176,0.75841,0.77592,0.79135,0.47708,1.37649,0.92694,1.38304,6.1885e-05,6.1885e-05,6.1885e-05
79,6581.85,1.18719,0.82439,1.23342,0.75845,0.77759,0.78903,0.4804,1.36871,0.91743,1.37417,6.139e-05,6.139e-05,6.139e-05
80,6652.67,1.18674,0.82124,1.22632,0.76318,0.76793,0.79612,0.48538,1.3599,0.91414,1.36388,6.0895e-05,6.0895e-05,6.0895e-05
81,6724.19,1.17773,0.81602,1.22352,0.74395,0.77341,0.79816,0.48506,1.3537,0.927,1.36263,6.04e-05,6.04e-05,6.04e-05
82,6806.56,1.18557,0.81641,1.22921,0.7797,0.76087,0.80146,0.4863,1.36295,0.92643,1.36875,5.9905e-05,5.9905e-05,5.9905e-05
83,6893.32,1.18056,0.81812,1.22583,0.75269,0.7787,0.79962,0.48927,1.35931,0.91691,1.3779,5.941e-05,5.941e-05,5.941e-05
84,6983.12,1.17857,0.8194,1.22426,0.77208,0.77608,0.80765,0.49527,1.34576,0.89624,1.35425,5.8915e-05,5.8915e-05,5.8915e-05
85,7066.44,1.16872,0.80392,1.22184,0.75821,0.78261,0.79511,0.48302,1.36612,0.91244,1.37489,5.842e-05,5.842e-05,5.842e-05
86,7151.69,1.17182,0.8092,1.22202,0.76705,0.7709,0.79767,0.48301,1.36657,0.92052,1.38384,5.7925e-05,5.7925e-05,5.7925e-05
87,7241.04,1.17081,0.80397,1.22138,0.75138,0.78679,0.7973,0.48395,1.3689,0.91129,1.37958,5.743e-05,5.743e-05,5.743e-05
88,7327.79,1.17864,0.80607,1.22496,0.77107,0.76839,0.79993,0.487,1.36792,0.91097,1.36732,5.6935e-05,5.6935e-05,5.6935e-05
89,7417.04,1.16656,0.80556,1.21922,0.76547,0.7832,0.8038,0.48785,1.37441,0.90404,1.37499,5.644e-05,5.644e-05,5.644e-05
90,7511.64,1.16674,0.79825,1.21804,0.76791,0.76079,0.79809,0.48634,1.36953,0.91018,1.37058,5.5945e-05,5.5945e-05,5.5945e-05
91,7603.37,1.17056,0.79549,1.21742,0.77589,0.76672,0.80314,0.49231,1.35909,0.90028,1.36663,5.545e-05,5.545e-05,5.545e-05
92,7693.24,1.15208,0.7957,1.2148,0.75534,0.77957,0.79708,0.49267,1.35009,0.9028,1.35797,5.4955e-05,5.4955e-05,5.4955e-05
93,7789.69,1.15501,0.79342,1.21671,0.75325,0.7887,0.79981,0.48818,1.37099,0.91415,1.37929,5.446e-05,5.446e-05,5.446e-05
94,7878.13,1.15588,0.79465,1.21985,0.76915,0.77843,0.79878,0.48415,1.37939,0.91052,1.39432,5.3965e-05,5.3965e-05,5.3965e-05
95,7965.79,1.14512,0.78802,1.20844,0.76837,0.77926,0.79461,0.48718,1.35944,0.90612,1.36781,5.347e-05,5.347e-05,5.347e-05
96,8062.99,1.14799,0.78887,1.21322,0.7718,0.77201,0.79522,0.47897,1.37886,0.91876,1.39546,5.2975e-05,5.2975e-05,5.2975e-05
97,8164.53,1.13983,0.78382,1.20434,0.76843,0.77133,0.79618,0.48525,1.37281,0.9204,1.38993,5.248e-05,5.248e-05,5.248e-05
98,8252.35,1.15244,0.78773,1.20831,0.77454,0.76505,0.79732,0.48575,1.37697,0.91494,1.38622,5.1985e-05,5.1985e-05,5.1985e-05
99,8375.6,1.15052,0.77508,1.20719,0.767,0.77616,0.79461,0.48088,1.38108,0.9033,1.38807,5.149e-05,5.149e-05,5.149e-05
100,8459.81,1.13306,0.77305,1.20446,0.77212,0.76839,0.79743,0.48712,1.37283,0.90433,1.38421,5.0995e-05,5.0995e-05,5.0995e-05
101,8550.23,1.14189,0.78103,1.20519,0.76825,0.76778,0.80026,0.48808,1.36948,0.90587,1.38448,5.05e-05,5.05e-05,5.05e-05
102,8643.49,1.13859,0.77332,1.20609,0.76773,0.76923,0.80379,0.49314,1.36788,0.91211,1.39122,5.0005e-05,5.0005e-05,5.0005e-05
103,9581.71,1.13448,0.77123,1.20352,0.7591,0.76933,0.80211,0.49062,1.37001,0.91721,1.39174,4.951e-05,4.951e-05,4.951e-05
104,9677.54,1.12574,0.75859,1.19459,0.77381,0.77592,0.80026,0.48867,1.37573,0.91321,1.39325,4.9015e-05,4.9015e-05,4.9015e-05
105,9770.03,1.14181,0.77723,1.20527,0.77658,0.77889,0.80526,0.4916,1.36915,0.90496,1.38462,4.852e-05,4.852e-05,4.852e-05
106,9859.5,1.13025,0.77127,1.20274,0.77427,0.77723,0.80296,0.49229,1.36326,0.90222,1.39086,4.8025e-05,4.8025e-05,4.8025e-05
107,9942.52,1.12679,0.76148,1.20132,0.78466,0.77384,0.80333,0.49023,1.35831,0.90298,1.3801,4.753e-05,4.753e-05,4.753e-05
108,10025.8,1.12451,0.76573,1.19713,0.78501,0.76326,0.80248,0.49131,1.36061,0.90119,1.37893,4.7035e-05,4.7035e-05,4.7035e-05
109,10111.4,1.12004,0.7567,1.19048,0.7881,0.75753,0.80077,0.48855,1.36715,0.90125,1.38942,4.654e-05,4.654e-05,4.654e-05
110,10206.8,1.12246,0.76057,1.19154,0.78726,0.76425,0.79884,0.48523,1.37453,0.90949,1.39284,4.6045e-05,4.6045e-05,4.6045e-05
111,10299.6,1.11981,0.75468,1.18764,0.77861,0.76254,0.798,0.48463,1.37927,0.91311,1.40258,4.555e-05,4.555e-05,4.555e-05
112,10384,1.11721,0.75018,1.1837,0.76497,0.77017,0.79805,0.485,1.37762,0.91602,1.40337,4.5055e-05,4.5055e-05,4.5055e-05
