epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,7485.02,1.31276,0.97858,1.43283,0.76921,0.74128,0.79886,0.48808,1.34589,0.90566,1.44804,8.119e-05,8.119e-05,8.119e-05
40,7578.78,1.30838,0.98517,1.42881,0.77819,0.72157,0.78731,0.48708,1.33957,0.91113,1.4637,8.0695e-05,8.0695e-05,8.0695e-05
41,7665.33,1.29345,0.96979,1.43022,0.78714,0.72969,0.80787,0.50239,1.3207,0.88794,1.42828,8.02e-05,8.02e-05,8.02e-05
42,7752.27,1.30665,0.96109,1.43897,0.81468,0.70574,0.81005,0.49748,1.32924,0.88038,1.46806,7.9705e-05,7.9705e-05,7.9705e-05
43,7858.84,1.30106,0.96592,1.43477,0.80639,0.71237,0.8112,0.50194,1.30035,0.89496,1.44441,7.921e-05,7.921e-05,7.921e-05
44,7971.18,1.29705,0.96562,1.42877,0.79383,0.73404,0.80564,0.50132,1.32285,0.88845,1.44797,7.8715e-05,7.8715e-05,7.8715e-05
45,8075.07,1.30959,0.97866,1.43197,0.79163,0.72826,0.79539,0.48079,1.33968,0.90881,1.4891,7.822e-05,7.822e-05,7.822e-05
46,8161.07,1.30093,0.96308,1.41853,0.76648,0.76171,0.8175,0.49798,1.34023,0.87103,1.45612,7.7725e-05,7.7725e-05,7.7725e-05
47,8245.66,1.28674,0.94122,1.41401,0.79371,0.71418,0.7982,0.49042,1.34631,0.89854,1.49227,7.723e-05,7.723e-05,7.723e-05
48,8333.35,1.29837,0.96487,1.42233,0.79866,0.72637,0.80034,0.48365,1.36473,0.8886,1.48183,7.6735e-05,7.6735e-05,7.6735e-05
49,8419,1.30364,0.95886,1.42922,0.77167,0.746,0.80148,0.50557,1.28149,0.8808,1.4167,7.624e-05,7.624e-05,7.624e-05
50,8547.44,1.29001,0.94184,1.41017,0.7984,0.72188,0.80799,0.50963,1.30168,0.85689,1.41883,7.5745e-05,7.5745e-05,7.5745e-05
51,8668.82,1.29079,0.9467,1.41199,0.76736,0.75669,0.81425,0.51637,1.28445,0.86536,1.41536,7.525e-05,7.525e-05,7.525e-05
52,8757.14,1.28741,0.94298,1.40887,0.79065,0.7547,0.80851,0.5001,1.31218,0.86741,1.44746,7.4755e-05,7.4755e-05,7.4755e-05
53,8846.8,1.28589,0.93599,1.41415,0.79093,0.74582,0.81774,0.4964,1.33587,0.8656,1.4576,7.426e-05,7.426e-05,7.426e-05
54,8933.49,1.27589,0.94666,1.41919,0.80553,0.73411,0.80186,0.50962,1.28501,0.87825,1.4413,7.3765e-05,7.3765e-05,7.3765e-05
55,9020.93,1.28546,0.93521,1.42287,0.78125,0.76171,0.81679,0.51472,1.30161,0.87658,1.44096,7.327e-05,7.327e-05,7.327e-05
56,9107.55,1.27839,0.93367,1.40858,0.78868,0.74895,0.81214,0.49269,1.34293,0.87406,1.47553,7.2775e-05,7.2775e-05,7.2775e-05
57,9196.41,1.27793,0.93576,1.41737,0.81219,0.72157,0.80857,0.50273,1.31332,0.87508,1.44334,7.228e-05,7.228e-05,7.228e-05
58,9283.51,1.26997,0.92882,1.40853,0.8225,0.71739,0.81892,0.50414,1.31337,0.84468,1.43964,7.1785e-05,7.1785e-05,7.1785e-05
59,9374.36,1.28012,0.92218,1.40636,0.79084,0.74415,0.8139,0.50078,1.31579,0.85851,1.45212,7.129e-05,7.129e-05,7.129e-05
60,9464.15,1.26875,0.91856,1.40828,0.81304,0.71632,0.80672,0.49956,1.31776,0.86596,1.45197,7.0795e-05,7.0795e-05,7.0795e-05
61,9552.43,1.27873,0.93059,1.40399,0.76777,0.75251,0.80187,0.49869,1.30824,0.86446,1.4419,7.03e-05,7.03e-05,7.03e-05
62,9638.87,1.26928,0.93088,1.39456,0.80844,0.73077,0.80279,0.49218,1.3297,0.90088,1.44465,6.9805e-05,6.9805e-05,6.9805e-05
63,9726.98,1.2568,0.913,1.39973,0.80205,0.75211,0.81964,0.5051,1.31902,0.85693,1.46717,6.931e-05,6.931e-05,6.931e-05
64,9815.01,1.2572,0.92043,1.40458,0.78366,0.74916,0.81032,0.49984,1.33062,0.88119,1.45552,6.8815e-05,6.8815e-05,6.8815e-05
65,9902.6,1.24839,0.90701,1.38823,0.79826,0.74107,0.81967,0.50611,1.33479,0.86169,1.46433,6.832e-05,6.832e-05,6.832e-05
66,9989.29,1.24535,0.89957,1.38581,0.8128,0.72969,0.81722,0.51866,1.28965,0.85565,1.42685,6.7825e-05,6.7825e-05,6.7825e-05
67,10076,1.26432,0.9149,1.40774,0.75827,0.76505,0.81156,0.51269,1.28879,0.855,1.42733,6.733e-05,6.733e-05,6.733e-05
68,10161.5,1.25404,0.90122,1.38861,0.81474,0.73244,0.80976,0.50927,1.30797,0.86143,1.42798,6.6835e-05,6.6835e-05,6.6835e-05
69,10248,1.25596,0.9077,1.3895,0.79414,0.74247,0.80693,0.48574,1.37174,0.8846,1.50887,6.634e-05,6.634e-05,6.634e-05
70,10335,1.24785,0.89775,1.39186,0.79365,0.74607,0.8141,0.5116,1.30459,0.85795,1.44117,6.5845e-05,6.5845e-05,6.5845e-05
71,10420.1,1.2437,0.89497,1.38394,0.81324,0.73161,0.8164,0.51421,1.29472,0.85197,1.43271,6.535e-05,6.535e-05,6.535e-05
72,10505.2,1.24533,0.89228,1.39062,0.79884,0.7408,0.81459,0.51081,1.31384,0.8588,1.44569,6.4855e-05,6.4855e-05,6.4855e-05
73,10644.7,1.24327,0.89726,1.39055,0.79869,0.73829,0.80936,0.50957,1.29001,0.87251,1.43265,6.436e-05,6.436e-05,6.436e-05
74,10746.3,1.23247,0.87921,1.38832,0.79833,0.7408,0.81213,0.50621,1.32141,0.8682,1.46379,6.3865e-05,6.3865e-05,6.3865e-05
75,10835.9,1.23857,0.87741,1.38509,0.77053,0.76926,0.81722,0.51217,1.30528,0.84252,1.43307,6.337e-05,6.337e-05,6.337e-05
76,10925.5,1.237,0.88557,1.37879,0.787,0.75084,0.81012,0.50476,1.31295,0.84715,1.43522,6.2875e-05,6.2875e-05,6.2875e-05
77,11017.6,1.23974,0.89225,1.3838,0.79802,0.74415,0.81548,0.50727,1.30832,0.85854,1.43971,6.238e-05,6.238e-05,6.238e-05
78,11110.3,1.23788,0.89137,1.38809,0.78472,0.75585,0.80976,0.50626,1.33085,0.87048,1.47035,6.1885e-05,6.1885e-05,6.1885e-05
79,11196.9,1.24247,0.88032,1.39523,0.78039,0.76063,0.8104,0.50986,1.31705,0.85445,1.45879,6.139e-05,6.139e-05,6.139e-05
80,11283.4,1.23205,0.87515,1.37334,0.78772,0.75167,0.81681,0.50619,1.31091,0.84237,1.44259,6.0895e-05,6.0895e-05,6.0895e-05
81,11369.8,1.23199,0.87059,1.36209,0.80461,0.74717,0.81566,0.51107,1.30314,0.84923,1.42168,6.04e-05,6.04e-05,6.04e-05
82,11456,1.22701,0.86813,1.36838,0.81193,0.74164,0.81655,0.50975,1.3114,0.84599,1.44503,5.9905e-05,5.9905e-05,5.9905e-05
83,11542.2,1.23343,0.87808,1.36996,0.79236,0.75618,0.81019,0.503,1.32965,0.872,1.45422,5.941e-05,5.941e-05,5.941e-05
84,11628.2,1.2338,0.88166,1.37165,0.77994,0.75,0.80919,0.50626,1.32506,0.86382,1.46275,5.8915e-05,5.8915e-05,5.8915e-05
85,11714.1,1.21857,0.86133,1.36455,0.77648,0.76171,0.81042,0.50755,1.32111,0.85686,1.44988,5.842e-05,5.842e-05,5.842e-05
86,11800.2,1.22885,0.86295,1.37627,0.79364,0.77176,0.82017,0.50391,1.33439,0.85492,1.46523,5.7925e-05,5.7925e-05,5.7925e-05
87,11886.3,1.22264,0.86374,1.37181,0.80631,0.7408,0.81131,0.50516,1.32411,0.86865,1.46145,5.743e-05,5.743e-05,5.743e-05
88,11972.4,1.22884,0.86972,1.37451,0.81547,0.73746,0.81061,0.50987,1.305,0.85252,1.44021,5.6935e-05,5.6935e-05,5.6935e-05
89,12058.6,1.22026,0.86305,1.36447,0.80006,0.74833,0.81505,0.50761,1.32696,0.84572,1.46875,5.644e-05,5.644e-05,5.644e-05
90,12144.6,1.22927,0.86727,1.37408,0.79543,0.75752,0.81455,0.51047,1.31728,0.84614,1.4478,5.5945e-05,5.5945e-05,5.5945e-05
